year,cap_percent,passing_percentage,passing_yards_per_attempt,games,passing_yards_per_game,rushing_yards_per_game,passing_tds_per_game,rushing_tds_per_game,sacks_per_game,turnovers_per_game
2013,16.869,57.5,6.9,16,238.625,2.25,1.125,0,2.4375,1.8125
2013,0.738,55.8,6.9,16,190.375,22.875,0.75,0.375,2.6875,1.5625
2013,8.39,63.1,7.4,11,238.27272727272728,10.727272727272727,1.7272727272727273,0,1.7272727272727273,1.3636363636363635
2013,5.502,59,6.4,16,244.5,8.1875,1.1875,0.0625,3,1.5
2013,0.473,58.7,6.9,10,167.3,6.4,0.8,0,2.1,1.1
2013,7.767,67.4,6.9,16,282.1875,3.4375,1.625,0,2.75,1.3125
2013,8.697,61.2,6.5,10,231,2.4,1,0,2.1,1.5
2013,14.417,58.5,7.3,16,290.625,4.3125,1.8125,0.125,1.4375,1.4375
2013,0.457,59.4,6.3,13,200.6153846153846,2.8461538461538463,1.4615384615384615,0,3.076923076923077,1
2013,0.531,64,9.1,13,222.3846153846154,17,2.076923076923077,0.23076923076923078,2.1538461538461537,0.3076923076923077
2013,14.159,68.3,8.3,16,342.3125,-1.9375,3.4375,0.0625,1.125,1
2013,11.146,69.5,8.2,16,279.875,4.5,2,0,1.875,0.8125
2013,3.883,60.1,7,13,246.3846153846154,37.61538461538461,1.2307692307692308,0,2.923076923076923,1.2307692307692308
2013,0.551,63.1,8.2,16,209.8125,33.6875,1.625,0.0625,2.75,0.875
2013,1.922,62,7,11,223.0909090909091,20.454545454545453,1.2727272727272727,0.2727272727272727,1.9090909090909092,1.2727272727272727
2013,2.329,60.4,6.7,16,244.5625,14.875,1.5,0.0625,3.625,1.375
2013,11.165,60.5,6.9,16,271.4375,1.125,1.5625,0,2.5,0.875
2013,9.562,63.9,7.2,15,255.2,2.533333333333333,2.066666666666667,0,2.3333333333333335,0.7333333333333333
2014,13.195,65.6,8.4,16,273.8125,16.8125,2.375,0.125,1.75,0.4375
2014,3.459,65.3,7,15,217.66666666666666,16.933333333333334,1.2,0.06666666666666667,3,0.4666666666666667
2014,4.533,61.7,7.7,16,297.5625,17.0625,2.5,0.1875,1.6875,1.375
2014,6.811,64.2,7.1,16,212.375,10.5625,1.1875,0.25,1.3125,1.1875
2014,0.429,63.4,7,10,200.1,3.6,1.2,0,2.9,1.2
2014,14.207,67.1,8.1,16,309.5,1.6875,2,0,2.0625,0.875
2014,2.824,58.9,6.1,14,207.71428571428572,29.928571428571427,0.7857142857142857,0,3.9285714285714284,1.2857142857142858
2014,0.94,55.3,7.6,14,237.57142857142858,2.7857142857142856,0.8571428571428571,0,1.7142857142857142,1
